Stock Price,Strike Price,Maturity,Dividends,Volatility,Risk-free,Call Price
28.0,17.0,0.0396300098866834,0.022400000000000003,0.3709,0.0088,10.4
28.0,20.0,0.0396300098866834,0.022400000000000003,0.3709,0.0088,6.28
28.0,21.0,0.0396300098866834,0.022400000000000003,0.3709,0.0088,7.94
28.0,22.0,0.0396300098866834,0.022400000000000003,0.3709,0.0088,6.2
28.0,23.0,0.0396300098866834,0.022400000000000003,0.3709,0.0088,3.0
28.0,24.0,0.0396300098866834,0.022400000000000003,0.3709,0.0088,3.95
28.0,25.0,0.0396300098866834,0.022400000000000003,0.3709,0.0088,1.81
28.0,26.0,0.0396300098866834,0.022400000000000003,0.3709,0.0088,1.42
28.0,27.0,0.0396300098866834,0.022400000000000003,0.3709,0.0088,0.85
28.0,28.0,0.0396300098866834,0.022400000000000003,0.3709,0.0088,0.35
28.0,29.0,0.0396300098866834,0.022400000000000003,0.3709,0.0088,0.2
28.0,30.0,0.0396300098866834,0.022400000000000003,0.3709,0.0088,0.08
28.0,31.0,0.0396300098866834,0.022400000000000003,0.3709,0.0088,0.05
28.0,32.0,0.0396300098866834,0.022400000000000003,0.3709,0.0088,0.05
28.0,33.0,0.0396300098866834,0.022400000000000003,0.3709,0.0088,0.05
28.0,34.0,0.0396300098866834,0.022400000000000003,0.3709,0.0088,0.05
28.0,35.0,0.0396300098866834,0.022400000000000003,0.3709,0.0088,0.04
28.0,36.0,0.0396300098866834,0.022400000000000003,0.3709,0.0088,0.1
28.0,26.0,0.11628983192638223,0.022400000000000003,0.3709,0.0088,1.75
28.0,27.0,0.11628983192638223,0.022400000000000003,0.3709,0.0088,1.34
28.0,28.0,0.11628983192638223,0.022400000000000003,0.3709,0.0088,0.9
28.0,29.0,0.11628983192638223,0.022400000000000003,0.3709,0.0088,0.6
28.0,30.0,0.11628983192638223,0.022400000000000003,0.3709,0.0088,0.33
28.0,31.0,0.11628983192638223,0.022400000000000003,0.3709,0.0088,0.29
28.0,32.0,0.11628983192638223,0.022400000000000003,0.3709,0.0088,0.4
28.0,33.0,0.11628983192638223,0.022400000000000003,0.3709,0.0088,0.15
28.0,34.0,0.11628983192638223,0.022400000000000003,0.3709,0.0088,0.1
28.0,36.0,0.11628983192638223,0.022400000000000003,0.3709,0.0088,0.1
28.0,12.0,0.21211460947600577,0.022400000000000003,0.3709,0.0088,13.6
28.0,13.0,0.21211460947600577,0.022400000000000003,0.3709,0.0088,9.7
28.0,14.0,0.21211460947600577,0.022400000000000003,0.3709,0.0088,9.7
28.0,15.0,0.21211460947600577,0.022400000000000003,0.3709,0.0088,6.7
28.0,17.0,0.21211460947600577,0.022400000000000003,0.3709,0.0088,5.9
28.0,18.0,0.21211460947600577,0.022400000000000003,0.3709,0.0088,9.31
28.0,19.0,0.21211460947600577,0.022400000000000003,0.3709,0.0088,6.98
28.0,20.0,0.21211460947600577,0.022400000000000003,0.3709,0.0088,7.05
28.0,21.0,0.21211460947600577,0.022400000000000003,0.3709,0.0088,6.2
28.0,22.0,0.21211460947600577,0.022400000000000003,0.3709,0.0088,6.15
28.0,23.0,0.21211460947600577,0.022400000000000003,0.3709,0.0088,4.7
28.0,24.0,0.21211460947600577,0.022400000000000003,0.3709,0.0088,4.6
28.0,25.0,0.21211460947600577,0.022400000000000003,0.3709,0.0088,3.0
28.0,26.0,0.21211460947600577,0.022400000000000003,0.3709,0.0088,2.35
28.0,27.0,0.21211460947600577,0.022400000000000003,0.3709,0.0088,1.75
28.0,28.0,0.21211460947600577,0.022400000000000003,0.3709,0.0088,1.35
28.0,29.0,0.21211460947600577,0.022400000000000003,0.3709,0.0088,1.0
28.0,30.0,0.21211460947600577,0.022400000000000003,0.3709,0.0088,0.85
28.0,31.0,0.21211460947600577,0.022400000000000003,0.3709,0.0088,0.7
28.0,32.0,0.21211460947600577,0.022400000000000003,0.3709,0.0088,0.55
28.0,33.0,0.21211460947600577,0.022400000000000003,0.3709,0.0088,0.3
28.0,34.0,0.21211460947600577,0.022400000000000003,0.3709,0.0088,0.62
28.0,35.0,0.21211460947600577,0.022400000000000003,0.3709,0.0088,0.18
28.0,36.0,0.21211460947600577,0.022400000000000003,0.3709,0.0088,0.4
28.0,37.0,0.21211460947600577,0.022400000000000003,0.3709,0.0088,0.25
28.0,18.0,0.461259031105027,0.022400000000000003,0.3709,0.0088,9.67
28.0,19.0,0.461259031105027,0.022400000000000003,0.3709,0.0088,8.5
28.0,20.0,0.461259031105027,0.022400000000000003,0.3709,0.0088,9.3
28.0,21.0,0.461259031105027,0.022400000000000003,0.3709,0.0088,8.0
28.0,22.0,0.461259031105027,0.022400000000000003,0.3709,0.0088,6.27
28.0,23.0,0.461259031105027,0.022400000000000003,0.3709,0.0088,4.03
28.0,24.0,0.461259031105027,0.022400000000000003,0.3709,0.0088,5.5
28.0,25.0,0.461259031105027,0.022400000000000003,0.3709,0.0088,4.0
28.0,26.0,0.461259031105027,0.022400000000000003,0.3709,0.0088,2.98
28.0,27.0,0.461259031105027,0.022400000000000003,0.3709,0.0088,2.75
28.0,28.0,0.461259031105027,0.022400000000000003,0.3709,0.0088,2.62
28.0,29.0,0.461259031105027,0.022400000000000003,0.3709,0.0088,1.9
28.0,30.0,0.461259031105027,0.022400000000000003,0.3709,0.0088,1.45
28.0,31.0,0.461259031105027,0.022400000000000003,0.3709,0.0088,1.25
28.0,32.0,0.461259031105027,0.022400000000000003,0.3709,0.0088,1.55
28.0,33.0,0.461259031105027,0.022400000000000003,0.3709,0.0088,0.8
28.0,34.0,0.461259031105027,0.022400000000000003,0.3709,0.0088,1.2
28.0,35.0,0.461259031105027,0.022400000000000003,0.3709,0.0088,0.6
28.0,36.0,0.461259031105027,0.022400000000000003,0.3709,0.0088,1.1
28.0,37.0,0.461259031105027,0.022400000000000003,0.3709,0.0088,0.45
28.0,10.0,0.8828880523233706,0.022400000000000003,0.3709,0.0088,19.0
28.0,13.0,0.8828880523233706,0.022400000000000003,0.3709,0.0088,13.25
28.0,15.0,0.8828880523233706,0.022400000000000003,0.3709,0.0088,12.36
