symbol,quotedate,iv30call,iv30put,iv30mean,callvol,putvol,calloi,putoi
A,8/15/2019,0.2709,0.2735,0.2722,3976,3915,25738,25259
AA,8/15/2019,0.5076,0.5055,0.5066,2146,5041,135267,65906
AABA,8/15/2019,0.0694,0.0694,0.0694,3004,834,271246,147220
AAC,8/15/2019,0.0000,0.0000,0.0000,0,0,1821,88
AAL,8/15/2019,0.4256,0.4281,0.4268,37024,26647,460090,289525
AAN,8/15/2019,0.3259,0.3310,0.3284,315,72,5912,9360
AAOI,8/15/2019,0.7704,0.6666,0.7185,2047,248,32701,20275
AAON,8/15/2019,0.3556,0.3575,0.3566,10,44,314,1360
AAP,8/15/2019,0.3026,0.3082,0.3054,403,807,16090,16573
AAPL,8/15/2019,0.3081,0.2978,0.3030,221503,197967,1754521,1711971
AAT,8/15/2019,0.1741,0.2211,0.1976,0,0,256,205
AAU,8/15/2019,0.0000,0.0000,0.0000,0,0,1957,0
AAWW,8/15/2019,0.5726,0.5657,0.5692,182,63,5865,3918
AAXJ,8/15/2019,0.2583,0.2378,0.2480,0,36,10567,29115
AAXN,8/15/2019,0.4332,0.4317,0.4324,334,245,15890,13403
AB,8/15/2019,0.1306,0.3207,0.2256,109,171,2450,1852
ABB,8/15/2019,0.2174,0.2372,0.2273,62,137,35894,5682
ABBV,8/15/2019,0.2740,0.2685,0.2712,38989,17255,348178,273112
ABC,8/15/2019,0.2992,0.3251,0.3122,11293,112,12251,11738
ABCB,8/15/2019,0.3528,0.3400,0.3464,1,1,5306,812
ABDC,8/15/2019,0.0541,0.0624,0.0582,57,2,763,369
ABEO,8/15/2019,1.1133,1.1120,1.1126,27,6,14355,1806
ABEV,8/15/2019,0.2884,0.3452,0.3168,7,8,18036,376
ABG,8/15/2019,0.3351,0.3367,0.3359,11,23,261,118
ABM,8/15/2019,0.4330,0.4255,0.4292,1,0,564,127
ABMD,8/15/2019,0.4159,0.4164,0.4162,513,623,14693,13702
ABR,8/15/2019,0.2967,0.2191,0.2579,56,259,4036,3339
ABT,8/15/2019,0.2600,0.2542,0.2571,5618,3255,135792,121532
ABUS,8/15/2019,0.0000,0.0000,0.0000,0,0,1024,259
ACA,8/15/2019,0.4672,0.4242,0.4457,5,35,941,630
ACAD,8/15/2019,0.5644,0.5283,0.5464,379,78,41758,74005
